Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ASXC,Asensus Surgical Inc. Common Stock,$0.345,-0.0084,-2.377%,82615617.00,United States,,1600932,Health Care,Medical/Dental Instruments
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$10.53,0.00,0.00%,0.00,,2022,2757,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$6.79,-0.08,-1.164%,179322719.00,United States,,91188,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$2.31,-0.12,-4.938%,3201249.00,United States,1997,453471,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$15.50,0.2999,1.973%,,United States,,3953,,
AUMN,Golden Minerals Company Common Stock,$1.15,-0.04,-3.361%,204291977.00,United States,,76061,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.87,0.02,2.353%,11544900.00,,2022,4181,,
AWX,Avalon Holdings Corporation Common Stock,$2.60,0.00,0.00%,8547882.00,United States,1998,52,Utilities,Environmental Services
AZTR,Azitra Inc Common Stock,$2.47,0.07,2.917%,0.00,,2023,17595,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.22,-0.01,-0.098%,0.00,,2021,114,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$8.25,0.03,0.365%,135774631.00,United States,,2710,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$17.27,0.07,0.407%,0.00,United States,1972,16257,Finance,Finance/Investors Services
